"filename", "language", "C++", "HTML", "JSON", "Markdown", "YAML", "Dart", "Shell Script", "Swift", "XML", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\downloadButton\download_button.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 9, 92
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\downloadButton\progress_indicator_widget.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\caption_text.dart", "Dart", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 8, 114
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\home_screen_drawer.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 4, 74
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\image_picker_column.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 11, 8, 75
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\image_rounded_rect.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 3, 66
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\label_picker.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 54
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\homescreen\menu_item.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\levelPicker\three_way_switch_lib.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 7, 71
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\output\feedback_button.dart", "Dart", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 9, 11, 144
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\output\image_view.dart", "Dart", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 18, 14, 217
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\output\output_image_gallery.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 6, 81
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\reusable\output\pop_up_form.dart", "Dart", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 6, 7, 202
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\routes\routes.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\screens\error_screen.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\screens\full_screen_image.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 4, 12, 265
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\screens\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 7, 10, 191
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\static\static_variables.dart", "Dart", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 3, 134
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\api_functions copy.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 11, 92
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\api_functions.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 9, 11, 92
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\device_id_manager.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"e:\AndroidStudio\AppDev\Android Part 4\dramatic_outputs\lib\utils\random_image_request.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 3, 34
